iter	Passed	Remaining
0	20	20178
1	36	18156
2	52	17517
3	67	16742
4	83	16706
5	106	17629
6	123	17555
7	137	16995
8	165	18184
9	183	18200
10	201	18153
11	213	17614
12	239	18153
13	258	18237
14	271	17815
15	292	17991
16	307	17793
17	326	17831
18	343	17756
19	361	17719
20	381	17790
21	399	17758
22	416	17674
23	436	17760
24	467	18219
25	486	18242
26	516	18608
27	536	18632
28	568	19020
29	588	19017
30	617	19316
31	651	19698
32	677	19855
33	708	20117
34	731	20181
35	753	20166
36	780	20320
37	801	20303
38	833	20545
39	857	20585
40	882	20644
41	915	20870
42	943	20996
43	961	20892
44	992	21068
45	1014	21050
46	1027	20831
47	1043	20703
48	1080	20977
49	1112	21139
50	1136	21142
51	1156	21076
52	1174	20991
53	1186	20787
54	1197	20578
55	1214	20471
56	1234	20417
57	1252	20343
58	1270	20262
59	1290	20217
60	1306	20104
61	1324	20045
62	1345	20014
63	1361	19911
64	1376	19804
65	1405	19885
66	1434	19980
67	1467	20112
68	1490	20113
69	1527	20295
70	1553	20321
71	1561	20126
72	1583	20111
73	1600	20030
74	1616	19938
75	1634	19875
76	1652	19803
77	1666	19702
78	1685	19647
79	1696	19509
80	1711	19415
81	1726	19329
82	1742	19254
83	1761	19206
84	1775	19109
85	1785	18977
86	1803	18922
87	1818	18848
88	1835	18784
89	1847	18680
90	1858	18567
91	1877	18527
92	1894	18476
93	1906	18376
94	1923	18324
95	1937	18248
96	1960	18254
97	1977	18198
98	1991	18127
99	2007	18066
100	2024	18018
101	2049	18045
102	2064	17982
103	2081	17929
104	2107	17961
105	2123	17911
106	2136	17829
107	2153	17788
108	2175	17787
109	2193	17745
110	2212	17720
111	2263	17945
112	2304	18086
113	2323	18059
114	2357	18141
115	2383	18160
116	2411	18203
117	2428	18150
118	2454	18174
119	2486	18237
120	2522	18324
121	2562	18442
122	2583	18420
123	2604	18402
124	2655	18585
125	2673	18543
126	2705	18597
127	2742	18683
128	2799	18900
129	2821	18884
130	2856	18948
131	2883	18963
132	2906	18944
133	2941	19008
134	2973	19050
135	2990	18997
136	3024	19051
137	3064	19144
138	3119	19320
139	3171	19481
140	3198	19485
141	3215	19431
142	3233	19376
143	3260	19382
144	3279	19340
145	3332	19493
146	3376	19591
147	3408	19620
148	3426	19567
149	3449	19549
150	3478	19555
151	3493	19487
152	3507	19418
153	3537	19435
154	3577	19500
155	3602	19487
156	3632	19503
157	3665	19534
158	3685	19494
159	3708	19467
160	3748	19536
161	3778	19546
162	3808	19559
163	3851	19634
164	3906	19767
165	3946	19827
166	3979	19847
167	4010	19859
168	4039	19864
169	4073	19886
170	4101	19884
171	4133	19896
172	4168	19924
173	4201	19946
174	4247	20024
175	4278	20032
176	4323	20102
177	4354	20106
178	4383	20103
179	4409	20087
180	4439	20086
181	4469	20087
182	4497	20077
183	4524	20066
184	4556	20074
185	4587	20077
186	4619	20081
187	4649	20083
188	4680	20084
189	4713	20096
190	4751	20125
191	4779	20115
192	4804	20088
193	4830	20070
194	4860	20065
195	4899	20097
196	4934	20114
197	4956	20076
198	4983	20057
199	5002	20010
200	5028	19989
201	5055	19972
202	5093	19996
203	5110	19942
204	5153	19987
205	5183	19980
206	5218	19990
207	5236	19939
208	5299	20058
209	5334	20068
210	5363	20054
211	5394	20050
212	5423	20037
213	5440	19982
214	5472	19980
215	5503	19974
216	5533	19966
217	5562	19954
218	5600	19971
219	5626	19948
220	5657	19941
